,dtype,missing_count,missing_pct,n_unique
id,object,0,0.0,2260701
member_id,float32,2260701,100.0,0
loan_amnt,float32,33,0.0,1572
funded_amnt,float32,33,0.0,1572
funded_amnt_inv,float64,33,0.0,10057
term,category,33,0.0,2
int_rate,float32,33,0.0,673
installment,float32,33,0.0,93301
grade,category,33,0.0,7
sub_grade,category,33,0.0,35
emp_title,object,167002,7.39,512694
emp_length,category,146940,6.5,11
home_ownership,object,33,0.0,6
annual_inc,float64,37,0.0,89368
verification_status,category,33,0.0,3
issue_d,object,33,0.0,139
loan_status,object,33,0.0,9
pymnt_plan,object,33,0.0,2
url,object,33,0.0,2260668
desc,object,2134636,94.42,124500
purpose,object,33,0.0,14
title,object,23359,1.03,63154
zip_code,object,34,0.0,956
addr_state,object,33,0.0,51
dti,float32,1744,0.08,10845
delinq_2yrs,float32,62,0.0,37
earliest_cr_line,object,62,0.0,754
fico_range_low,float32,33,0.0,48
fico_range_high,float32,33,0.0,48
inq_last_6mths,float32,63,0.0,28
mths_since_last_delinq,float32,1158535,51.25,173
mths_since_last_record,float32,1901545,84.11,129
open_acc,float32,62,0.0,91
pub_rec,float32,62,0.0,43
revol_bal,float32,33,0.0,102251
revol_util,float32,1835,0.08,1430
total_acc,float32,62,0.0,152
initial_list_status,category,33,0.0,2
out_prncp,float64,33,0.0,358926
out_prncp_inv,float64,33,0.0,371317
total_pymnt,float64,33,0.0,1633864
total_pymnt_inv,float64,33,0.0,1311099
total_rec_prncp,float64,33,0.0,486463
total_rec_int,float64,33,0.0,717069
total_rec_late_fee,float32,33,0.0,11392
recoveries,float64,33,0.0,134144
collection_recovery_fee,float32,33,0.0,134696
last_pymnt_d,object,2460,0.11,136
last_pymnt_amnt,float64,33,0.0,704467
next_pymnt_d,object,1345343,59.51,106
last_credit_pull_d,object,105,0.0,141
last_fico_range_high,float32,33,0.0,72
last_fico_range_low,float32,33,0.0,71
collections_12_mths_ex_med,float32,178,0.01,16
mths_since_last_major_derog,float32,1679926,74.31,183
policy_code,float32,33,0.0,1
application_type,object,33,0.0,2
annual_inc_joint,float64,2139991,94.66,17633
dti_joint,float32,2139995,94.66,4018
verification_status_joint,object,2144971,94.88,3
acc_now_delinq,float32,62,0.0,9
tot_coll_amt,float32,70309,3.11,15574
tot_cur_bal,float32,70309,3.11,487688
open_acc_6m,float32,866163,38.31,19
open_act_il,float32,866162,38.31,54
open_il_12m,float32,866162,38.31,19
open_il_24m,float32,866162,38.31,31
mths_since_rcnt_il,float32,909957,40.25,405
total_bal_il,float32,866162,38.31,162249
il_util,float32,1068883,47.28,280
open_rv_12m,float32,866162,38.31,29
open_rv_24m,float32,866162,38.31,50
max_bal_bc,float32,866162,38.31,33726
all_util,float32,866381,38.32,188
total_rev_hi_lim,float32,70309,3.11,34220
inq_fi,float32,866162,38.31,33
total_cu_tl,float32,866163,38.31,62
inq_last_12m,float32,866163,38.31,48
acc_open_past_24mths,float32,50063,2.21,57
avg_cur_bal,float32,70379,3.11,88597
bc_open_to_buy,float32,74968,3.32,91500
bc_util,float32,76104,3.37,1494
chargeoff_within_12_mths,float32,178,0.01,11
delinq_amnt,float32,62,0.0,2617
mo_sin_old_il_acct,float32,139104,6.15,566
mo_sin_old_rev_tl_op,float32,70310,3.11,787
mo_sin_rcnt_rev_tl_op,float32,70310,3.11,333
mo_sin_rcnt_tl,float32,70309,3.11,232
mort_acc,float32,50063,2.21,47
mths_since_recent_bc,float32,73445,3.25,546
mths_since_recent_bc_dlq,float32,1741000,77.01,177
mths_since_recent_inq,float32,295468,13.07,26
mths_since_recent_revol_delinq,float32,1520342,67.25,179
num_accts_ever_120_pd,float32,70309,3.11,44
num_actv_bc_tl,float32,70309,3.11,42
num_actv_rev_tl,float32,70309,3.11,57
num_bc_sats,float32,58623,2.59,60
num_bc_tl,float32,70309,3.11,76
num_il_tl,float32,70309,3.11,122
num_op_rev_tl,float32,70309,3.11,81
num_rev_accts,float32,70310,3.11,117
num_rev_tl_bal_gt_0,float32,70309,3.11,50
num_sats,float32,58623,2.59,91
num_tl_120dpd_2m,float32,153690,6.8,7
num_tl_30dpd,float32,70309,3.11,5
num_tl_90g_dpd_24m,float32,70309,3.11,34
num_tl_op_past_12m,float32,70309,3.11,33
pct_tl_nvr_dlq,float32,70464,3.12,690
percent_bc_gt_75,float32,75412,3.34,284
pub_rec_bankruptcies,float32,1398,0.06,12
tax_liens,float32,138,0.01,42
tot_hi_cred_lim,float32,70309,3.11,529972
total_bal_ex_mort,float32,50063,2.21,212777
total_bc_limit,float32,50063,2.21,20309
total_il_high_credit_limit,float32,70309,3.11,194137
revol_bal_joint,float32,2152681,95.22,56875
sec_app_fico_range_low,float32,2152680,95.22,62
sec_app_fico_range_high,float32,2152680,95.22,62
sec_app_earliest_cr_line,object,2152680,95.22,663
sec_app_inq_last_6mths,float32,2152680,95.22,7
sec_app_mort_acc,float32,2152680,95.22,23
sec_app_open_acc,float32,2152680,95.22,67
sec_app_revol_util,float32,2154517,95.3,1216
sec_app_open_act_il,float32,2152680,95.22,40
sec_app_num_rev_accts,float32,2152680,95.22,86
sec_app_chargeoff_within_12_mths,float32,2152680,95.22,22
sec_app_collections_12_mths_ex_med,float32,2152680,95.22,18
sec_app_mths_since_last_major_derog,float32,2224759,98.41,140
hardship_flag,object,33,0.0,2
hardship_type,category,2249784,99.52,1
hardship_reason,object,2249784,99.52,9
hardship_status,object,2249784,99.52,3
deferral_term,float32,2249784,99.52,1
hardship_amount,float32,2249784,99.52,9162
hardship_start_date,object,2249784,99.52,27
hardship_end_date,object,2249784,99.52,28
payment_plan_start_date,object,2249784,99.52,27
hardship_length,float32,2249784,99.52,1
hardship_dpd,float32,2249784,99.52,34
hardship_loan_status,object,2249784,99.52,5
orig_projected_additional_accrued_interest,float32,2252050,99.62,7487
hardship_payoff_balance_amount,float64,2249784,99.52,10894
hardship_last_payment_amount,float32,2249784,99.52,9045
disbursement_method,object,33,0.0,2
debt_settlement_flag,category,33,0.0,2
debt_settlement_flag_date,object,2226455,98.49,83
settlement_status,category,2226455,98.49,3
settlement_date,object,2226455,98.49,90
settlement_amount,float64,2226455,98.49,21972
settlement_percentage,float32,2226455,98.49,2070
settlement_term,float32,2226455,98.49,40
issue_d_parsed,datetime64[ns],33,0.0,139
